.camera,"Professional photographers, camera and equipment retailers, photo studios & photography schools, anyone who wants to share photos online",,,Identity Digital[ID 11],Identity Digital[ID 11],—
.camp,"Camping/RV sites, travel writers & bloggers, outdoor adventure companies, summer camps for kids, hotels, hostels, lodges, bed & breakfast lodging",,,Identity Digital[ID 12],Identity Digital[ID 12],—
.cancerresearch,"Organizations, research institutes and individuals interested in ending cancer through research[30]",,,Australian Cancer Research Foundation,Australian Cancer Research Foundation,—
.capital,"Mortgage companies, financial services professionals, investment services, venture capital investors",,,Identity Digital[ID 13],Identity Digital[ID 13],—
.car,vehicles,,,Cars Registry Limited[11],Cars Registry Limited[11],
.cards,"Occasion shoppers (holiday, birthday, bereavement), occasion-related websites, gift buyers, corporate HR departments",,,Identity Digital[ID 14],Identity Digital[ID 14],—
.care,"Surgeons, primary/secondary care physicians, insurance providers, hospitals & clinics, medical, dental, or vision , service based products or services",,,Identity Digital[ID 15],Identity Digital[ID 15],—
.career,jobs and job-searching,,,dotCareer LLC,dotCareer LLC,—
.careers,"Career services (coaching, resume writing), job sites & recruiters, business coaches, staffing firms, HR department of any business",,,Identity Digital[ID 16],Identity Digital[ID 16],—
.cars,Automotive,,,Uniregistry,Uniregistry,—
.case,,,,CNH Industrial N.V.[11],CNH Industrial N.V.[11],Reserved for CNH Industrial
.cash,"Pawn shops and consignment shops, currency exchanges, other cash-based businesses, check cashing services",,,Identity Digital[ID 17],Identity Digital[ID 17],—
.casino,"Casino & online gaming sites, travel agencies, local tourist sites, hotel booking sites",,,Identity Digital,Identity Digital,—
.catering,"Caterers & personal chefs, specialty food vendors, wedding planners & event planners, event spaces, wholesale suppliers",,,Identity Digital[ID 18],Identity Digital[ID 18],—
.catholic,Catholicism,,,Dicastery for Communication[11],Dicastery for Communication[11],
.center,"Community centers, business centers, shopping centers, tourist sites/city centers, tutoring & learning centers",,,Identity Digital[ID 19],Identity Digital[ID 19],—
.cern,CERN,,,CERN,CERN,CERN
.ceo,CEOs,,,CEOTLD Pty Ltd,CEOTLD Pty Ltd,—[31]
.cfd,clothing fashion design,,,ShortDot SA[11],ShortDot SA[11],
.channel,,,,Google[n 2],Google[n 2],—
.chat,"Online chat rooms, dating, political, religious, sports, hobbyist forums, companies with live chat help desks, chatbot technology companies",,,Identity Digital,Identity Digital,—
.charity,,,,Identity Digital,Identity Digital,—
.cheap,"Online retailers, discount sites, overstock sites, businesses who sell bulk products at discounted prices, bargain hunters & frugal-living bloggers",,,Identity Digital[ID 20],Identity Digital[ID 20],—
.christmas,Christmas,,,Uniregistry,Uniregistry,—
.church,"Churches, youth organizations, spiritual communities, religion-based organizations, anyone who publishes spiritual or religious content",,,Identity Digital[ID 21],Identity Digital[ID 21],—
.circle,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",—
.city,"City resource sites for locals and travelers, travel writers & bloggers, local reviews websites, tourist attractions, transportation businesses",,,Identity Digital[ID 22],Identity Digital[ID 22],—
.claims,"Insurance adjusters & claims representatives, (auto, medical, homeowners), customer service departments of insurance companies, law firms",,,Identity Digital[ID 23],Identity Digital[ID 23],—
.cleaning,"Contractors, commercial/home cleaning services, auto detailing/cleaning services",,,Identity Digital[ID 24],Identity Digital[ID 24],—
.click,,,,Uniregistry,Uniregistry,—
.clinic,"Healthcare clinics, medical or healthcare specialists, sports clinics, urgent care clinics",,,Identity Digital[ID 25],Identity Digital[ID 25],—
.clothing,"Online retailers, department stores, designers",,,Identity Digital[ID 26],Identity Digital[ID 26],—
.cloud,Companies involved in cloud computing,,,Aruba S.p.A.,Aruba S.p.A.,—
.club,"groups, organizations, assemblies, communities, general",,,.CLUB DOMAINS,.CLUB DOMAINS,—[32]
.coach,"Athletic organizations, personal trainers & coaches, business, life, & health coaches, affordable travel, airline, train, car, or other transportation companies",,,Identity Digital,Identity Digital,—
.codes,"Software and web developers, IT companies, technology R&D companies, coding enthusiasts, coding classes & camps",,,Identity Digital[ID 27],Identity Digital[ID 27],—
.coffee,"Coffee shops, roasters, wholesalers & suppliers, machine & equipment suppliers and stands",,,Identity Digital[ID 28],Identity Digital[ID 28],—
.college,Educational,,,XYZ.com,XYZ.com,—
.community,"City guides & neighborhood associations, churches, mosques, temples, and other spiritual communities, local writers & bloggers",,,Identity Digital[ID 29],Identity Digital[ID 29],—
.company,"Small, medium, or large businesses, business that want to demonstrate authority in their field, makers, artisans, anyone who sells a niche product",,,Identity Digital[ID 30],Identity Digital[ID 30],—
.compare,,,,iSelect Ltd[11],iSelect Ltd[11],Reserved for Gocompare.com Limited
.computer,"Computer manufacturers, computer repair services, computer resellers, computer training & education programs, tech companies",,,Identity Digital[ID 31],Identity Digital[ID 31],—
.condos,"Real estate brokers/agents, property (condominium) managers, mortgage companies, condominium/apartment developers, condominium associations",,,Identity Digital[ID 32],Identity Digital[ID 32],—
.construction,"Contractors, commercial/residential architects, wholesale and retail construction suppliers",,,Identity Digital[ID 33],Identity Digital[ID 33],—
.consulting,"Consulting firms, independent consultants, specialty services, businesses that offer expert training",,,Identity Digital[n 1],Identity Digital[n 1],—
.contact,,,,"Top Level Spectrum, Inc.[11]","Top Level Spectrum, Inc.[11]",
.contractors,"Construction-related businesses, contractors, subcontractors, unions or other organizations promoting their people and skills",,,Identity Digital[ID 34],Identity Digital[ID 34],—
.cooking,sharing recipes,,,Minds + Machines[n 3],Minds + Machines[n 3],—
.cool,"Fashion magazines & blogs, meme aggregators, trend tracking sites, online merchants, fun publications & sites",,,Identity Digital[ID 35],Identity Digital[ID 35],—
.coop,cooperatives,,,DotCooperation,DotCooperation,The .coop TLD is limited to cooperatives as defined by the Rochdale Principles.
.country,general,,,Minds + Machines[n 3],Minds + Machines[n 3],—
.coupon,discounts and rebates,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",
.coupons,"Coupon pages, coupon sites, discount sites, coupon-themed blogs, bargain hunters",,,Identity Digital,Identity Digital,—
.courses,education,,,Open Universities Australia Pty Ltd[11],Open Universities Australia Pty Ltd[11],
.cpa,accountants and accounting firms,,,American Institute of Certified Public Accountants,American Institute of Certified Public Accountants,Restricted to licensed CPAs and CPA firms
.credit,"Credit card companies, lenders, credit unions, collection agencies, credit counselors & financial planners",,,Identity Digital[ID 36],Identity Digital[ID 36],—
.creditcard,"Credit card companies, store/retailer credit card sites, credit counselors & financial planners, credit card processing services",,,Identity Digital[ID 37],Identity Digital[ID 37],—
.cruise,"Cruise lines, cruise-related products or services, travel agencies & vacation services, private charter boats",,,Viking River Cruises (Bermuda) Ltd.[11],Viking River Cruises (Bermuda) Ltd.[11],
.cricket,cricket,,,Global Registry Services Ltd[10],Global Registry Services Ltd[10],—
.cruises,cruise businesses and travel,,,Identity Digital[ID 38],Identity Digital[ID 38],—
.cyou,"For any individual or business that shares the ethical values of diversity, inclusivity, and independence[34]",,,Shortdot SA[35],Shortdot SA[35],—
.dad,fathers,,,Google[n 2],Google[n 2],—
.dance,"Dance studios & instructors, nightclubs & music venues,  dance shoe, clothing & equipment manufacturers",,,Identity Digital[n 1],Identity Digital[n 1],—
.data,,,,Dish DBS Corporation[11],Dish DBS Corporation[11],
.date,online dating,,,Global Registry Services Ltd[10],Global Registry Services Ltd[10],—
.dating,"Dating & matchmaker sites, travel sites & city guides, singles meetup groups, traditional “classified” sites, event businesses",,,Identity Digital[ID 39],Identity Digital[ID 39],—
.day,general,,,Google[n 2],Google[n 2],—
.deal,sales,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",
.deals,"Discount sites, bargain hunters, coupon sites, coupon pages. coupon-themed guides, directories and blogs",,,Identity Digital[ID 40],Identity Digital[ID 40],—
.degree,"Brick-and-mortar schools & universities, online universities, other learning courses, other educational resources",,,Identity Digital[n 1],Identity Digital[n 1],—
.delivery,"Consumer delivery services, commercial shipping services, transportation services, messenger services, any business that ships their products",,,Identity Digital[ID 41],Identity Digital[ID 41],—
.democrat,"Political candidates, lobbyists, political parties, fundraising organizations",,,Identity Digital[n 1],Identity Digital[n 1],—
.dental,"Dentists, endodontists, orthodontists, retailers selling oral health supplies, wholesale suppliers for dental care",,,Identity Digital[ID 42],Identity Digital[ID 42],—
.dentist,"Dentists, endodontists, orthodontists, retailers selling oral health supplies, wholesale suppliers for dental care",,,Identity Digital[n 1],Identity Digital[n 1],—
.design,graphic art and fashion,,,Top Level Design,Top Level Design,—
.dev,software development,,,Google,Google,—
.diamonds,"Jewelers, diamond wholesalers and retailers, jewelry appraisers and buyers, pawn shops",,,Identity Digital[ID 43],Identity Digital[ID 43],—
.diet,dieting and dietary,,,Uniregistry,Uniregistry,—
